,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
0,C,0,0,0,2,4,3,2,4,6,6,6,2,6,5,5,5
1,B,4,3,4,1,0,0,0,1,5,6,6,4,2,4,1,3
2,B,1,1,1,2,0,0,1,0,5,4,3,5,4,3,3,2
3,B,0,0,0,1,3,3,5,2,4,4,3,1,3,4,2,2
4,C,5,5,5,6,4,4,3,2,5,6,4,6,5,6,6,6
5,B,6,6,6,5,5,5,6,5,0,0,0,0,0,0,1,0
6,C,6,6,6,5,2,3,4,3,1,2,4,1,2,4,5,1
7,B,0,0,0,1,5,5,4,6,0,2,3,0,1,2,4,2
8,B,4,4,5,2,1,1,0,1,2,3,5,3,4,5,6,2
9,C,2,2,2,4,5,6,5,5,0,0,2,0,2,3,4,0
10,C,2,2,1,0,5,4,5,6,1,2,1,5,2,1,2,0
11,B,4,3,3,2,2,2,2,4,3,4,5,3,2,0,1,4
12,B,0,0,0,1,2,3,3,3,5,4,5,3,4,4,5,6
13,B,4,4,3,3,4,4,5,4,2,2,1,3,5,0,0,5
14,B,1,1,1,3,5,5,4,2,3,2,3,4,6,6,6,6
15,B,6,6,6,6,3,3,2,1,4,3,3,6,0,1,3,6
16,B,5,6,5,5,6,6,6,6,0,0,0,1,6,5,4,4
17,B,2,3,3,4,3,2,2,5,2,4,4,3,2,3,4,4
18,B,4,3,2,2,2,2,3,0,5,5,5,5,6,5,6,3
19,C,4,4,4,4,4,5,5,4,5,5,5,4,3,3,3,2
20,C,1,0,1,2,5,5,3,6,1,5,6,1,4,6,6,4
21,B,5,5,5,4,1,1,1,2,5,4,3,5,1,2,2,5
22,B,1,1,1,0,3,5,4,6,4,4,3,2,6,6,6,6
23,B,6,6,6,6,0,0,1,0,3,3,2,5,4,4,6,0
24,B,0,0,0,0,1,2,0,0,2,1,1,4,2,1,1,4
25,B,0,0,2,0,0,1,2,2,3,1,2,3,5,5,0,4
26,B,6,5,5,4,4,5,4,5,1,2,0,1,1,3,4,3
27,B,5,5,5,6,5,4,3,6,0,0,0,0,0,0,0,1
28,C,2,1,1,0,0,0,0,0,6,5,3,4,6,6,4,3
29,B,0,1,1,1,6,6,6,6,5,4,2,3,1,1,0,1
30,B,0,0,0,0,5,6,4,5,5,3,1,5,1,0,0,1
31,B,6,6,6,5,2,2,2,1,0,2,3,1,2,4,2,1
32,B,3,3,3,0,1,1,1,2,6,6,4,2,6,6,4,5
33,B,5,5,5,6,5,4,4,4,4,5,5,3,5,5,6,2
34,B,3,3,2,0,0,0,0,2,2,3,3,4,0,0,1,3
35,B,1,2,1,2,6,6,5,6,2,2,1,3,1,3,2,2
36,D,4,4,3,4,1,1,1,0,5,4,4,4,3,0,1,1
37,C,1,1,2,1,5,6,6,6,4,5,3,4,3,4,4,5
38,C,1,1,0,1,6,6,6,6,3,6,6,6,3,5,4,2
39,B,3,3,3,1,1,0,1,1,0,0,0,1,2,1,0,1
40,B,3,3,2,4,3,4,1,4,0,3,4,0,0,1,2,0
41,C,1,1,2,1,5,5,5,5,4,3,6,4,6,6,6,6
42,B,4,4,4,4,1,1,1,0,5,6,5,6,0,0,0,0
43,B,0,0,0,0,0,0,0,1,5,5,6,6,1,1,2,3
44,C,3,3,3,4,3,3,4,2,1,1,2,1,2,3,4,5
45,C,2,2,2,0,1,1,2,2,3,1,2,2,5,4,5,2
46,B,6,6,6,6,2,1,1,2,0,1,2,0,5,6,6,1
47,C,0,0,1,0,2,2,4,3,5,5,2,3,4,3,4,6
48,D,6,6,6,6,6,6,6,6,0,0,0,0,3,3,4,1
49,C,5,5,5,4,0,0,0,0,4,4,2,2,0,1,0,2
50,B,1,2,2,3,3,4,2,4,5,3,2,5,3,4,0,6
51,B,6,6,6,6,5,3,2,5,1,1,1,1,5,5,6,2
52,B,0,0,0,0,1,1,1,1,4,2,2,5,6,2,4,5
53,C,1,0,0,3,1,0,0,0,2,3,4,2,4,2,2,5
54,B,6,6,5,6,3,2,3,2,6,6,6,3,5,5,6,1
55,B,0,0,0,0,0,2,2,1,1,0,1,2,3,4,3,3
56,B,0,0,1,0,6,6,6,6,6,6,6,3,2,3,4,1
57,B,5,4,4,2,0,0,0,0,6,6,6,5,3,0,0,3
58,B,6,6,5,5,1,1,1,1,3,3,4,4,2,3,5,5
59,C,4,5,4,5,6,6,6,6,1,0,0,1,2,2,2,2
60,B,6,6,6,5,1,1,0,3,3,2,2,4,0,0,0,1
61,B,6,5,5,4,1,1,1,2,3,3,2,3,2,1,0,4
62,B,3,2,2,2,0,1,1,5,5,4,4,3,0,1,2,4
63,B,4,4,4,2,0,0,2,1,1,2,4,6,0,1,3,5
64,B,3,4,4,3,4,4,4,4,1,0,0,2,2,2,2,5
65,D,6,6,6,6,6,5,5,5,1,1,2,0,0,0,0,0
66,B,5,5,4,3,2,2,2,1,0,0,2,0,1,2,4,0
67,C,0,0,1,3,2,1,1,2,1,2,4,0,3,4,5,1
68,B,5,5,5,5,2,2,4,3,2,3,3,2,5,5,4,5
69,C,5,4,4,2,0,1,2,2,4,3,3,6,1,0,0,3
70,B,6,6,6,5,1,0,1,0,5,6,5,6,1,2,0,4
71,B,0,1,2,0,6,6,6,6,0,1,2,1,0,1,1,1
72,B,1,0,0,0,1,1,1,2,4,3,3,1,2,4,5,1
73,B,5,5,5,4,1,2,4,0,5,4,2,6,3,2,3,3
74,B,2,2,2,2,1,1,3,1,1,1,0,4,5,5,5,3
75,B,0,0,0,1,6,5,4,4,5,4,5,1,4,4,3,2
76,B,5,5,5,5,0,0,0,1,6,5,5,3,4,4,0,1
77,B,4,4,5,5,5,4,4,5,5,5,4,3,5,5,3,5
78,B,0,1,1,2,1,0,0,1,6,4,6,1,5,6,6,6
79,B,5,5,5,6,5,6,6,3,4,5,6,5,0,0,0,5
80,B,4,4,3,4,5,5,5,3,5,4,2,5,3,4,2,2
81,B,0,0,0,2,2,1,1,3,2,1,4,2,1,0,0,2
82,B,6,6,6,6,0,0,0,0,5,4,4,6,1,2,3,5
83,B,2,2,2,1,1,2,3,1,4,5,4,6,1,3,4,6
84,B,5,5,5,5,0,0,0,0,4,3,4,6,4,4,5,5
85,B,0,1,1,0,2,1,2,4,3,5,4,3,2,4,4,5
86,B,1,2,2,2,6,6,6,5,4,3,3,5,6,6,6,6
87,B,5,5,5,6,2,1,0,1,4,2,4,1,1,2,4,1
88,C,1,1,1,3,2,3,3,2,1,1,2,3,6,5,6,5
89,B,3,3,2,3,6,5,3,4,3,3,3,4,4,3,2,5
90,B,0,0,0,1,5,5,5,3,3,4,4,1,1,2,3,0
91,B,1,1,3,3,6,5,5,5,3,3,0,6,2,2,2,6
92,B,6,6,6,6,2,1,1,0,3,4,4,1,1,1,2,1
93,C,0,0,0,1,2,0,1,1,4,4,2,3,6,6,5,5
94,B,3,2,2,0,5,6,6,5,3,2,1,1,2,1,2,1
95,B,1,1,1,3,4,4,5,3,5,4,6,1,6,6,6,1
96,B,2,3,3,3,1,2,4,1,3,2,1,3,3,5,1,1
97,B,5,5,5,5,0,0,2,1,6,6,5,3,2,2,1,0
98,E,0,1,1,1,6,6,5,5,2,1,0,2,3,3,2,4
99,C,5,6,6,5,0,0,0,0,4,5,5,6,2,0,0,1
100,B,1,1,1,2,5,5,4,5,1,1,2,4,3,4,5,5
101,B,1,1,1,2,3,3,3,3,3,4,4,4,2,3,1,4
102,C,4,4,3,4,2,2,4,2,3,3,2,2,0,1,3,2
103,C,0,0,1,2,4,4,4,6,4,3,3,3,3,2,4,2
104,B,3,3,3,3,0,0,1,2,4,6,6,5,2,2,4,6
105,B,4,4,4,5,2,1,1,0,6,6,6,6,6,6,6,0
106,B,2,3,2,3,2,1,1,4,6,6,5,5,5,1,0,6
107,B,4,4,4,3,3,3,3,3,0,0,0,0,1,1,1,3
108,B,1,1,1,0,0,0,1,1,5,2,1,4,5,5,3,2
109,C,1,1,2,1,2,3,4,2,4,4,4,3,6,6,3,5
110,C,1,0,0,0,3,3,2,5,6,5,4,4,4,2,4,6
111,B,2,2,1,0,2,3,2,2,6,5,4,3,5,2,4,6
112,D,4,4,4,4,1,1,1,0,5,6,6,5,0,1,2,4
113,B,1,0,0,1,4,4,4,5,5,5,5,2,6,5,5,2
114,D,3,3,3,4,2,2,2,2,3,3,3,4,0,1,2,2
115,C,5,5,6,6,4,4,4,5,3,3,2,1,5,6,3,2
116,B,6,5,5,6,0,0,0,0,6,6,6,6,4,5,4,2
117,B,0,0,0,0,2,1,2,4,5,6,5,3,5,4,4,6
118,B,6,6,6,6,4,4,4,3,2,3,4,3,1,3,5,1
