,fire_size,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
0,60.0,4.971929825,5.7827659570000005,5.55875,13.69660023,3.3644994839999995,2.923829787,2.695833333,3.36905041,75.53162853,75.86861314,76.81283422,65.06380028,168.8,42.2,18.1,124.5
1,1.0,16.8519389,16.99778271,20.43478261,11.98555957,1.331257344,1.4729490019999998,1.424782609,2.1488567990000003,72.89947781,75.06138107,77.92462312,70.73291139,28.4,27.5,1.2,55.4
2,8.3,8.410982659,9.007192575,8.209,14.32804746,1.98867052,1.745011601,2.2245,1.7507011869999998,71.26086957,69.28103044,64.7979798,73.07207207,76.3,26.2,8.4,40.5
3,1.0,5.181472957,6.003609342000001,7.773429952000001,11.37532934,3.011635945,3.221656051,3.744927536,2.872771084,68.640553,69.55626327,63.96618357,59.95679797,52.9,38.4,2.3,30.5
4,20.0,24.56617502,25.54887064,25.23287037,25.6104251,3.414215202,3.272371134,2.899537037,2.623312883,73.71797885,74.60332542,69.44059406,77.47122693,93.7,85.3,41.4,154.3
5,2.0,31.0192783,30.14500942,29.62350598,23.27791321,3.81606525,4.079190207,4.9689243030000005,3.674487805,50.60751359,51.31638418,45.21912351,46.01573255,1.8,1.8,1.5,9.2
6,20.0,28.130937100000004,27.08040201,27.21354167,23.61437908,2.7727856230000003,3.123869347,3.3390625,3.22496732,58.74293059,61.82871537,67.11518325,61.75294118,38.6,32.0,29.0,26.5
7,2.0,4.751851852,6.52962963,5.023809524,10.567718,3.919036591,4.261538462,3.709722222,4.295313225,54.65678555,60.53846154,64.08333333,55.83758701,11.6,11.1,11.1,30.6
8,1.0,21.44210526,21.03448276,22.19393939,15.50313676,2.482307692,2.15508982,1.855063291,2.505447471,63.90877797,66.1557971,70.60740741,66.53044872,65.6,51.9,38.4,33.9
9,19.3,12.50716332,12.78894472,12.48039216,19.88528678,3.890544413,4.315577889,3.783333333,3.755361596,53.97468354,49.94382022,62.05952381,54.91091954,30.4,21.3,17.0,8.7
10,10.0,12.91572327,11.37772397,11.1182266,1.119103774,3.999496855,3.5227602910000004,4.115270936,5.178748524,60.4327044,62.28329298,59.13300493,73.18996416,38.4,4.1,2.3,9.4
11,1.0,20.14767025,16.72348993,15.39292035,14.31549894,2.715053763,2.620134228,2.642477876,3.458029979,66.69558824,68.59444444,72.47337278,65.76098191,41.2,1.0,1.0,72.5
12,1.0,5.081005025,5.671399594,6.278205128,12.88555885,2.882211055,2.929208925,3.159401709,2.908704253,71.16178067,69.3539823,73.00913242,65.50119332,76.7,38.4,25.2,208.7
13,1.0,20.10858961,18.12543103,15.1549763,16.4027972,3.5176086960000004,3.408590308,3.91902439,3.646598985,62.74908201,61.02919708,58.74634146,67.78342541,89.8,0.3,0.3,123.0
14,1.0,9.215850144,9.625352113,11.3237069,16.26080139,3.860617761,3.738585859,3.4991379310000004,2.540087336,66.97291667,63.14468085,65.28504673,70.04216867,182.8,66.4,42.8,194.6
15,3.0,27.63648834,28.13579235,28.64519774,27.68822751,2.950961538,2.9813698630000003,2.499431818,2.422516556,69.59044863,66.72443182,66.29447853,76.70949721,6.4,5.6,5.6,168.6
16,1.0,24.9340628,26.04095427,25.55291667,24.80393701,6.6670789720000005,6.820874751,4.834583333,5.978740157000001,53.11512845,47.82107356,43.4,57.42030276,142.4,49.4,13.2,94.6
17,1.0,11.61438356,14.40474138,15.06454545,18.26821886,2.938127854,2.7183189660000004,2.493636364,3.993480792,63.15903308,67.8490099,67.00574713,65.66066838,34.8,20.2,13.5,71.2
18,0.58,19.33212766,16.07959184,13.9,14.09079545,2.581914894,2.6247165530000003,3.028037383,1.996359499,71.94036209,70.76590909,72.04225352,72.55569007,138.7,61.7,59.2,61.3
19,35.0,18.47524752,19.14356436,20.4974359,18.55181024,3.640652447,3.89275,4.171649485,3.43463035,74.00849858,74.17183099,74.38690476,69.68413392,42.3,25.8,9.2,43.9
20,10.0,8.372812135,7.059375,8.493939394,15.32087156,3.899649942,3.98375,3.058441558,4.760091743,61.56924883,71.10947368,78.98230088,59.33993015,86.5,69.4,69.4,76.1
21,2.0,24.00859788,23.22997347,22.94378698,21.25517241,2.397086093,2.33962766,2.00297619,2.667688378,71.7188755,67.97843666,66.46385542,74.37433155,13.5,11.7,4.1,112.8
22,2.0,7.106224900000001,8.263043478,8.924680851,6.559737827999999,3.225025329,3.69241517,3.4577586210000004,4.284160305,69.29181929,70.07416268,64.01092896,64.58501119,138.8,105.6,56.4,177.4
23,3.0,26.20965452,26.84651601,26.94246032,26.73408049,1.815759584,1.847363465,1.987301587,1.72572593,65.65918164,67.4248497,63.39029536,71.46104651,81.3,36.6,34.8,4.6
24,2.0,5.883026188,3.910196078,6.1223214289999985,7.398926655,2.108382066,2.875442043,1.877130045,1.8014336919999998,62.93957115,55.95481336,54.43049327,69.22043011,39.4,5.2,1.6,75.8
25,1.0,4.82731377,7.561097257,11.97633136,6.078346028,1.993340858,2.365336658,2.769230769,2.520674646,65.14105505,59.64871795,59.625,65.70928962,93.2,54.6,0.6,74.1
26,1.0,28.13318078,25.18903803,23.8960199,19.89769989,3.535225956,3.854318182,3.432663317,3.691951488,55.67439166,61.35681818,52.1758794,61.72166105,21.8,21.8,17.8,56.0
27,1.5,24.02811671,24.79572193,25.51436782,26.13095238,3.772413793,3.532352941,3.047126437,4.513095238,28.45949535,33.35294118,40.27011494,46.64285714,0.8,0.8,0.8,11.2
28,35.0,10.74042743,8.610380623,10.05119048,8.332359081,1.339536955,1.439100346,1.235714286,1.656680585,76.04627007,72.93295019,65.98181818,68.75438596,137.9,73.2,16.3,52.6
29,4.5,2.284859366,8.27064803,10.98309859,11.75888817,5.73940678,5.825520833,5.777259475,5.167249191,73.86095593,69.73541384,60.35798817,66.97120419,12.9,8.0,0.8,15.1
30,1.0,4.144818182,1.757494867,6.130857142999999,4.953982301,4.064076782,4.53100616,3.562857143,4.263716814,71.1102873,66.61825726,59.22285714,73.73522459,20.3,3.0,0.5,15.0
31,2.0,28.39248015,27.73988868,26.78469185,23.76278528,2.826623073,2.762801484,2.621471173,2.383977643,54.70948155,60.50742115,65.08946322,61.84583139,41.3,30.0,3.3,16.4
32,3.0,14.08376289,14.95089286,16.4097561,9.810771114,2.422680412,2.426116071,2.128292683,2.78629131,75.5615142,77.84548105,69.875,62.41103448,168.9,149.4,12.4,111.4
33,1.0,22.03084223,23.10091743,22.98564593,25.80294906,3.690984579,3.489908257,3.405263158,3.5382037530000003,70.6377858,73.85480094,72.79710145,67.91451832,95.6,54.7,50.4,35.0
34,1.0,14.47510669,14.68245125,12.31547619,8.229954614,1.959886202,1.966295265,1.214880952,2.558547655,63.03025719,65.0845481,63.7721519,69.17176871,4.3,1.8,1.8,56.4
35,5.0,10.4107064,13.51704545,11.31122995,14.43771314,4.477654867,4.587471526,4.222043011,5.222927329,63.70852018,63.08372093,56.90810811,67.83168317,22.7,17.8,2.6,42.4
36,109.0,18.34519104,18.50692521,17.68306011,21.02930832,2.333992095,2.03933518,2.440437158,1.678429074,73.05179856,70.12209302,66.90285714,70.20576671,46.8,1.8,1.8,20.6
37,20.0,7.741522842999999,8.410687023,13.06574074,11.12391714,4.0047715739999985,4.497709924,5.57037037,4.748022599,68.96232179,70.82725528,66.65277778,69.90480679,43.2,31.1,15.5,122.3
38,23.0,7.294514286,7.708333333,7.04,12.55256831,6.634742857000001,7.657539682999999,8.3768,5.753879781,67.40632319,76.54268293,81.64049587,75.32291667,46.5,44.5,16.3,29.8
39,3.0,14.45768786,16.47345845,15.68604651,10.38570234,2.107508939,2.027472527,2.208284024,2.248676345,49.33206107,38.87637363,40.50887574,60.8446411,28.2,3.3,0.3,20.2
40,5.0,16.31855422,16.82156489,12.01434426,20.20961538,3.110848602,3.44565425,2.288934426,3.55998076,54.72025316,65.63821138,67.7944664,46.35023041,3.6,3.6,3.6,1.5
41,25.0,8.23125,8.646666667,11.72559524,13.06666667,4.067777778,4.0475,4.101190476,3.702916667,68.55913978,65.69253731,80.3125,71.26226734,654.0,431.8,357.8,320.4
42,5.0,17.951612899999994,17.72663551,18.07106599,19.90857788,2.254147465,2.099766355,2.003553299,1.99537246,73.60950174,74.29550827,73.9035533,79.30602958,2.9,1.5,0.6,2.1
43,2.0,4.61084855,5.639908257,7.474468085,8.600308325,1.652524168,1.3678899080000002,1.6140425530000002,2.131963001,72.8529755,70.98765432,76.98571429,78.73574561,12.2,3.8,3.8,49.1
44,41.28,15.13263041,14.8155902,15.0940367,18.73346044,3.173140954,3.1360801780000003,3.5931192660000004,2.772041985,55.84572697,56.83741648,59.97706422,61.67366412,26.8,22.0,14.8,135.2
45,50.0,13.08074534,11.50915493,11.59559471,10.03984716,2.169239766,2.48030303,2.843718593,2.526602177,65.94352617,57.52367688,60.0617284,62.96105702,97.1,30.8,29.5,43.5
46,2.0,29.89647332,28.22990741,28.20575397,29.68958333,2.634941995,2.481203704,2.343849206,2.70125,52.45769962,58.96053898,60.18358531,53.73784159,91.1,88.1,68.0,11.2
47,50.0,3.910746269,4.062900188,10.1165,9.103542233999999,2.726368159,2.7580037660000003,3.5265,3.208174387,71.5250291,70.89035088,61.63131313,65.72979215,80.4,21.2,10.7,292.3
48,250.0,29.93486056,29.67258383,29.41859504,27.76411531,5.537924152,5.26950495,5.166666667,5.227072927,37.51097804,39.10693069,39.825,40.60782347,55.4,20.8,16.2,18.2
49,25.0,25.03404255,23.31638418,22.40606061,18.53781513,1.3516081869999998,1.563841808,1.4030303030000002,1.5242296919999998,69.52664577,70.54268293,61.56849315,65.21503759,8.1,4.8,0.3,36.1
50,0.52,10.38708375,13.48966292,14.18115183,16.18498965,2.964379415,3.350561798,2.640314136,3.629503106,72.7360673,66.83031674,61.04712042,73.93507853,56.2,31.0,0.3,153.9
51,2.0,29.16080937,30.46490066,30.37804878,30.58980687,3.993274531,3.1118451030000003,2.460913706,3.744369369,60.98208287,58.53986333,58.95939086,59.77262443,90.9,50.9,42.7,32.2
52,1.0,4.757841141,4.727828054,6.719339623,10.06693795,2.499488753,2.446832579,2.380188679,2.5036659880000003,70.33544304,62.86511628,61.07,72.66975309,136.9,14.7,14.2,142.2
53,33.0,7.447342026,4.360433071,4.881782946,15.87438905,2.147891566,1.737992126,1.6565891469999998,1.973313783,62.51706827,64.63385827,69.37209302,63.16422287,66.1,11.9,4.1,117.1
54,1.0,25.75421687,26.68909091,24.86117021,29.59959732,3.08060241,2.792207792,2.891489362,2.7895302010000003,77.82962963,77.76302083,78.14973262,67.12803235,119.5,58.4,58.4,11.6
55,1.0,4.709058403,4.971867008,6.69244186,8.090511727,2.084330144,2.7253196930000003,2.71627907,2.283853606,59.12215909,53.69467787,53.86826347,65.30828221,50.2,38.8,8.6,63.4
56,1.0,0.333104126,2.910771993,8.32189781,5.874653887000001,4.956200787,4.955935252,4.806593407,4.48875803,75.18031088,78.54851485,78.8963964,65.73946785,26.0,21.4,17.5,27.3
57,9.95,22.89841112,20.75870445,20.01493776,15.30039254,1.925024826,1.327327935,0.805394191,1.851815505,81.04229607,79.64669421,78.91774892,74.85353535,57.7,0.3,0.3,55.1
58,1.0,28.19416126,27.29444444,25.728174600000006,24.98420074,2.174791474,2.335740741,2.316269841,2.18855814,66.72242817,66.45277778,69.09126984,68.63023256,26.2,19.3,19.3,104.4
59,10.0,19.60883028,21.95136986,21.61649485,23.50691193,5.984174312,6.1486301370000005,6.510309277999999,4.784392419,58.48126464,53.63761468,52.77835052,59.48342857,30.3,11.2,4.6,37.7
60,1.0,28.59068493,29.45616438,29.95,23.40165094,2.161813187,2.061432507,1.939880952,3.112617925,65.18681319,61.96418733,61.56547619,69.38545455,2.9,0.8,0.8,14.0
61,2.0,26.44383562,24.79646018,22.58992806,20.41536273,2.42109589,2.381710914,1.984892086,2.7069869,65.24550898,64.58842444,59.52755906,67.18555008,28.0,6.4,0.3,71.2
62,4.0,14.44459161,11.72944162,12.91513514,13.64419695,2.030905077,2.44213198,2.391351351,3.68147714,72.58169177,68.65217391,69.08743169,65.55771567,5.7,4.6,4.6,88.4
63,1.0,19.93591731,20.02568579,20.1975,15.0127907,1.891709845,2.028571429,2.535353535,2.30259624,57.36953642,61.47643979,67.52173913,78.03406814,10.9,6.6,6.1,143.3
64,3.0,16.29043779,17.64401914,18.48324324,16.48730512,3.300576037,3.648564593,3.489189189,3.327728285,59.86536108,54.02955665,51.03783784,65.35574572,33.3,13.5,3.3,130.1
65,100.0,26.70177819,27.326742,27.43841463,29.01618911,5.325222274,3.785781544,3.738617886,4.0027272730000005,57.92419279,56.84180791,61.29674797,47.34497608,6.9,1.9,0.8,0.8
66,2.0,22.4886921,23.00294906,20.03055556,16.69398693,2.714032698,2.5769437,2.730555556,2.17434555,51.24420191,50.09946237,60.64804469,55.60863874,12.0,12.0,12.0,8.8
67,10.0,6.592910849,6.976694915,8.87992278,16.36521226,2.648574822,2.4095794390000003,2.171111111,2.799386503,61.50570342,61.80051151,70.1,55.75313283,60.3,31.9,24.0,23.0
68,1.0,25.6489842,24.73809524,24.80995475,21.90097933,2.831151242,2.81991342,3.616742081,2.913710555,63.57562077,66.68398268,66.12217195,65.31526549,111.6,58.8,10.2,133.4
69,15.28,21.77922078,21.4,21.37078652,13.57374245,2.048051948,2.307058824,2.541573034,2.669215292,69.71698113,66.78767123,64.97101449,75.75216853,21.4,0.3,0.3,50.1
70,3.0,27.78474758,27.01966173,25.93619048,23.74604167,2.138054054,1.957356077,2.036538462,1.886339937,73.15027027,74.95948827,74.55769231,77.69400631,22.4,9.9,0.5,75.4
71,2.0,5.232095491,8.073878628,13.67759563,9.175461741,5.147214854,5.400527704,5.891803279,4.682585752,55.35524476,56.55858311,59.94827586,56.79480164,8.9,6.1,1.3,27.4
72,3.9,8.20325779,6.607932011,7.096932515,8.782237762000001,2.252974504,2.15184136,2.052760736,2.726713287,68.54121306,65.47865854,65.56578947,60.55620438,28.7,28.7,21.6,22.7
